iter	Logloss
0	0.5860771692
1	0.5050825787
2	0.4372362418
3	0.3942945459
4	0.3569893739
5	0.3291808783
6	0.306063841
7	0.288230212
8	0.2747908607
9	0.2665980784
10	0.255963984
11	0.2483550096
12	0.2431374854
13	0.2393260492
14	0.2356274504
15	0.2315568518
16	0.2286776392
17	0.2259397829
18	0.2241812407
19	0.2226992734
20	0.221371872
21	0.2198283755
22	0.2187412946
23	0.217550449
24	0.2167040645
25	0.2156328464
26	0.2150508473
27	0.2138429041
28	0.2125789243
29	0.2115353676
30	0.2103629375
31	0.2093367882
32	0.2086144058
33	0.2080746096
34	0.2072687636
35	0.2069093642
36	0.2061054637
37	0.205740227
38	0.2048348753
39	0.2044012869
40	0.204110814
41	0.2039275663
42	0.2030782478
43	0.2027302954
44	0.2021600381
45	0.2013437614
46	0.2007182576
47	0.2002504382
48	0.2000687858
49	0.1996006779
50	0.1990883007
51	0.1989639967
52	0.1981338662
53	0.1978669684
54	0.1971827464
55	0.1968248875
56	0.1965669162
57	0.196344238
58	0.1960722223
59	0.1955504825
60	0.1949425333
61	0.1947123723
62	0.1937327508
63	0.1933854957
64	0.1930679266
65	0.1923354721
66	0.1919804146
67	0.1914707383
68	0.1911164251
69	0.1908742183
70	0.1903644895
71	0.190124021
72	0.1898725492
73	0.1893151466
74	0.1890667434
75	0.1886075046
76	0.1877918405
77	0.1873805108
78	0.1868155098
79	0.1860322368
80	0.1857339488
81	0.1852517193
82	0.1847028991
83	0.1842485734
84	0.184069439
85	0.1836675322
86	0.1833691363
87	0.1828771148
88	0.1826197742
89	0.1822588721
90	0.1819214634
91	0.1814528768
92	0.1813360545
93	0.1812082937
94	0.1810989562
95	0.1810021674
96	0.1809135053
97	0.1802215951
98	0.1799164427
99	0.1793531848
100	0.1788144652
101	0.1782888465
102	0.1777286639
103	0.1776316388
104	0.1772045619
105	0.1765135862
106	0.1757255191
107	0.1754641137
108	0.1750238265
109	0.1748142717
110	0.1743252577
111	0.1739224376
112	0.1734768786
113	0.1731016887
114	0.1726451307
115	0.1720284244
116	0.1712146605
117	0.1702942659
118	0.1697425156
119	0.169495566
120	0.1691584512
121	0.1687740488
122	0.1685305502
123	0.1684708414
124	0.1677683653
125	0.1670420575
126	0.1665927328
127	0.1663298993
128	0.1660592515
129	0.1653749897
130	0.1648236087
131	0.1643248154
132	0.1641901265
133	0.163961329
134	0.163467163
135	0.1632422403
136	0.1628296321
137	0.1624155457
138	0.1622032512
139	0.1617788878
140	0.1612076917
141	0.160751112
142	0.1602374556
143	0.1602035403
144	0.1596911258
145	0.1586776445
146	0.1581273568
147	0.1577801734
148	0.1575604338
149	0.157232873
150	0.1569940176
151	0.1565209514
152	0.1557295846
153	0.155513216
154	0.1554066969
155	0.1553464311
156	0.1551596196
157	0.1550401131
158	0.1545277186
159	0.1540017075
160	0.1538052002
161	0.1531604261
162	0.1528544645
163	0.1525406497
164	0.1521599549
165	0.1517557105
166	0.1513638338
167	0.1509603248
168	0.1507484455
169	0.1505819392
170	0.1504193759
171	0.1501749434
172	0.1500161193
173	0.1498095972
174	0.1494959438
175	0.1493486909
176	0.148947445
177	0.1485215877
178	0.1478204518
179	0.1473263379
180	0.1470594726
181	0.1466939419
182	0.146367648
183	0.1462350569
184	0.145908745
185	0.145333593
186	0.1451020087
187	0.1449114316
188	0.1443185012
189	0.1440753026
190	0.1433941062
191	0.1431719947
192	0.1427340426
193	0.1423379133
194	0.1420411382
195	0.1417313231
196	0.1413050946
197	0.1409032262
198	0.140780941
199	0.1405447876
