iter	Passed	Remaining
0	0	117
1	1	107
2	1	106
3	2	107
4	2	106
5	3	106
6	3	104
7	4	102
8	4	101
9	5	103
10	5	102
11	6	101
12	7	100
13	7	100
14	8	98
15	8	97
16	8	96
17	9	96
18	10	95
19	10	94
20	11	94
21	11	93
22	12	92
23	12	92
24	13	91
25	13	91
26	14	90
27	14	89
28	15	89
29	15	88
30	16	88
31	16	87
32	17	86
33	17	86
34	18	85
35	18	85
36	19	84
37	19	84
38	20	83
39	20	83
40	21	82
41	21	82
42	22	81
43	22	81
44	23	80
45	23	80
46	24	79
47	24	78
48	25	78
49	25	77
50	26	77
51	26	76
52	27	75
53	27	75
54	28	75
55	29	75
56	29	74
57	30	74
58	30	73
59	31	73
60	31	72
61	32	72
62	32	71
63	33	70
64	33	70
65	34	69
66	34	69
67	35	68
68	35	68
69	36	67
70	36	67
71	37	66
72	38	66
73	38	65
74	39	65
75	39	64
76	40	64
77	40	63
78	41	62
79	41	62
80	42	61
81	42	61
82	43	60
83	43	60
84	44	60
85	44	59
86	45	59
87	45	58
88	46	57
89	46	57
90	47	56
91	48	56
92	48	55
93	49	55
94	49	54
95	50	54
96	50	53
97	51	53
98	51	52
99	52	52
100	52	51
101	53	51
102	53	50
103	54	50
104	54	49
105	55	49
106	56	48
107	56	48
108	57	47
109	57	47
110	58	46
111	58	46
112	59	45
113	59	44
114	60	44
115	60	43
116	61	43
117	61	42
118	62	42
119	62	41
120	63	41
121	63	40
122	64	40
123	64	39
124	65	39
125	65	38
126	66	38
127	66	37
128	67	37
129	67	36
130	68	35
131	68	35
132	69	34
133	69	34
134	70	33
135	70	33
136	71	32
137	71	32
138	72	31
139	72	31
140	73	30
141	73	30
142	74	29
143	74	29
144	75	28
145	75	28
146	76	27
147	76	27
148	77	26
149	77	25
150	78	25
151	78	24
152	79	24
153	79	23
154	80	23
155	81	22
156	81	22
157	82	21
158	82	21
159	83	20
160	83	20
161	84	19
162	84	19
163	85	18
164	85	18
165	86	17
166	86	17
167	87	16
168	87	16
169	88	15
170	89	15
171	89	14
172	90	14
173	90	13
174	91	13
175	91	12
176	92	11
177	92	11
178	93	10
179	93	10
180	94	9
181	94	9
182	95	8
183	96	8
184	96	7
185	97	7
186	97	6
187	98	6
188	98	5
189	99	5
190	99	4
191	100	4
192	100	3
193	101	3
194	101	2
195	102	2
196	102	1
197	103	1
198	104	0
199	104	0
